tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9552988292878973	-0.09863069486046992	102	102
Amygdala - Brain	0.9354965906488797	0.08785522523434774	103	103
Anterior cingulate - Brain	0.9712338504800244	-0.10465301461910306	103	103
Aorta - Artery	0.9618470469926192	-0.07705999606630938	104	104
Atrial Appendage - Heart	0.969780787320687	0.17307524516633452	106	106
Bladder	0.8678965484036	-0.003813745176096473	90	90
Caudate nucleus - Brain	0.9713172964766218	-0.031631967447526915	106	106
Cerebellar Hemisphere - Brain	0.9590646507217148	0.09403233068480409	103	103
Cerebellum - Brain	0.9695746559187537	0.1388338008045116	101	101
Coronary - Artery	0.9736152047972149	-0.1479666280293953	103	103
Cortex - Brain	0.9666609596404246	-0.014313850300466882	108	108
Cortex - Kidney	0.9347167285061945	0.1762943499829832	95	95
EBV-xform lymphocytes - Cells	0.915508146721361	0.20252855483728105	96	96
Ectocervix - Cervix	0.8849960133217366	-0.11778667462476343	83	83
Endocervix - Cervix	0.8597636703886965	-0.11662649505462562	83	83
Fallopian Tube	0.8927914862550047	-0.04978197177887474	88	88
Frontal Cortex - Brain	0.9652202372901513	0.03390050464375912	108	108
Gastroesoph. Junc. - Esophagus	0.97484595793475	-0.0024808666723752895	104	104
Hippocampus - Brain	0.9472822353983681	0.038034798525007636	104	104
Hypothalamus - Brain	0.9633297018367236	-0.018963982609042786	104	104
Ileum - Small Intestine	0.9562023553902851	-0.03277123091944261	104	104
Left Ventricle - Heart	0.9639178800487784	0.15650364098161457	103	103
Leukemia (CML) - Cells	0.8969055965294148	0.01775976104159823	89	89
Liver	0.9390319825873068	-0.05269518993896321	101	101
Lung	0.9628140608452387	0.058600067168920855	108	108
Mammary Tissue - Breast	0.9753122721136669	0.11613568497824808	102	102
Minor Salivary Gland	0.9577461865659854	-0.1006721181896533	101	101
Mucosa - Esophagus	0.9585378994541207	0.029470625560046388	103	103
Muscularis - Esophagus	0.9660209530860279	-0.06238716249772964	105	105
Not Sun Exposed - Skin	0.9165264108034273	0.1625669268203603	104	104
Nucleus accumbens - Brain	0.9713729391714625	0.10615687015513389	104	104
Ovary	0.9467218809923407	-0.044278007181181224	100	100
Pancreas	0.9421363085758756	-0.019263238480815244	104	104
Pituitary	0.9450258230914308	0.027954397305484314	106	106
Prostate	0.9657494240772556	-0.033763523632112546	103	103
Putamen - Brain	0.9298811102715459	0.11908625814090786	106	106
RPE/Choroid/Sclera - Eye	0.9424390661828803	0.12524816258496102	96	96
Retina - Eye	0.9239880170018324	-0.05826819259598821	102	102
Sigmoid - Colon	0.9597665587709097	-0.005720491372808517	104	104
Skeletal - Muscle	0.972880819292178	0.10780371523804688	102	102
Spinal cord (C1) - Brain	0.9412869137759559	0.13124609661322356	99	99
Spleen	0.9369467022245309	0.1227915571547724	98	98
Stomach	0.9683924231263134	-0.003427330490052959	102	102
Subcutaneous - Adipose	0.9389273230588621	0.06254017521954992	110	110
Substantia nigra - Brain	0.9524006587994756	0.13742730145275364	101	101
Sun Exposed (Lower leg) - Skin	0.9452595934907921	-0.050098076879540196	109	109
Testis	0.942816239924914	-0.038394016624920244	118	118
Thyroid	0.9763321584076301	0.044683124067302286	105	105
Tibial - Artery	0.9517154006079575	-0.2773252860985283	108	108
Tibial - Nerve	0.9596945436384395	0.024277930152619896	107	107
Transverse - Colon	0.9774130055413747	-0.05788055802117644	104	104
Uterus	0.9378080692553066	-0.01303826135600205	99	99
Vagina	0.9411778346619242	0.009280257059809036	102	102
Visceral (Omentum) - Adipose	0.9698406817561211	0.035023785039296776	104	104
Whole Blood	0.9001364132640781	-0.04867061679477914	105	105
Xform. fibroblasts - Cells	0.9002859224760574	0.0069310765698840536	101	101
