exon_id	logit_mean_psi	Retina - Eye	RPE/Choroid/Sclera - Eye	Subcutaneous - Adipose	Visceral (Omentum) - Adipose	Adrenal Gland	Aorta - Artery	Coronary - Artery	Tibial - Artery	Bladder	Amygdala - Brain	Anterior cingulate - Brain	Caudate nucleus - Brain	Cerebellar Hemisphere - Brain	Cerebellum - Brain	Cortex - Brain	Frontal Cortex - Brain	Hippocampus - Brain	Hypothalamus - Brain	Nucleus accumbens - Brain	Putamen - Brain	Spinal cord (C1) - Brain	Substantia nigra - Brain	Mammary Tissue - Breast	EBV-xform lymphocytes - Cells	Leukemia (CML) - Cells	Xform. fibroblasts - Cells	Ectocervix - Cervix	Endocervix - Cervix	Sigmoid - Colon	Transverse - Colon	Gastroesoph. Junc. - Esophagus	Mucosa - Esophagus	Muscularis - Esophagus	Fallopian Tube	Atrial Appendage - Heart	Left Ventricle - Heart	Cortex - Kidney	Liver	Lung	Minor Salivary Gland	Skeletal - Muscle	Tibial - Nerve	Ovary	Pancreas	Pituitary	Prostate	Not Sun Exposed - Skin	Sun Exposed (Lower leg) - Skin	Ileum - Small Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood	Retina - Eye_pred_delta_logit	RPE/Choroid/Sclera - Eye_pred_delta_logit	Subcutaneous - Adipose_pred_delta_logit	Visceral (Omentum) - Adipose_pred_delta_logit	Adrenal Gland_pred_delta_logit	Aorta - Artery_pred_delta_logit	Coronary - Artery_pred_delta_logit	Tibial - Artery_pred_delta_logit	Bladder_pred_delta_logit	Amygdala - Brain_pred_delta_logit	Anterior cingulate - Brain_pred_delta_logit	Caudate nucleus - Brain_pred_delta_logit	Cerebellar Hemisphere - Brain_pred_delta_logit	Cerebellum - Brain_pred_delta_logit	Cortex - Brain_pred_delta_logit	Frontal Cortex - Brain_pred_delta_logit	Hippocampus - Brain_pred_delta_logit	Hypothalamus - Brain_pred_delta_logit	Nucleus accumbens - Brain_pred_delta_logit	Putamen - Brain_pred_delta_logit	Spinal cord (C1) - Brain_pred_delta_logit	Substantia nigra - Brain_pred_delta_logit	Mammary Tissue - Breast_pred_delta_logit	EBV-xform lymphocytes - Cells_pred_delta_logit	Leukemia (CML) - Cells_pred_delta_logit	Xform. fibroblasts - Cells_pred_delta_logit	Ectocervix - Cervix_pred_delta_logit	Endocervix - Cervix_pred_delta_logit	Sigmoid - Colon_pred_delta_logit	Transverse - Colon_pred_delta_logit	Gastroesoph. Junc. - Esophagus_pred_delta_logit	Mucosa - Esophagus_pred_delta_logit	Muscularis - Esophagus_pred_delta_logit	Fallopian Tube_pred_delta_logit	Atrial Appendage - Heart_pred_delta_logit	Left Ventricle - Heart_pred_delta_logit	Cortex - Kidney_pred_delta_logit	Liver_pred_delta_logit	Lung_pred_delta_logit	Minor Salivary Gland_pred_delta_logit	Skeletal - Muscle_pred_delta_logit	Tibial - Nerve_pred_delta_logit	Ovary_pred_delta_logit	Pancreas_pred_delta_logit	Pituitary_pred_delta_logit	Prostate_pred_delta_logit	Not Sun Exposed - Skin_pred_delta_logit	Sun Exposed (Lower leg) - Skin_pred_delta_logit	Ileum - Small Intestine_pred_delta_logit	Spleen_pred_delta_logit	Stomach_pred_delta_logit	Testis_pred_delta_logit	Thyroid_pred_delta_logit	Uterus_pred_delta_logit	Vagina_pred_delta_logit	Whole Blood_pred_delta_logit
GT_00495	0.2509333545335379			66.49195161	63.32132139							28.12499375				34.45511859	26.6528812		42.41803279											84.38391947	65.55929352								79.05374031											69.54789756	70.73514265		37.82894737		62.55484306			0.546875	0.15039062	-0.6015625	0.62890625	0.11767578	-0.012573242	-0.49609375	0.24511719	-0.0703125	-0.53515625	0.24511719	0.07861328	-0.40039062	-0.020507812	-0.041259766	0.75	-0.27734375	0.057373047	-0.19726562	-0.15234375	-0.044677734	0.2421875	-0.13867188	-0.020996094	-0.19238281	-0.44921875	-0.49414062	0.6328125	-0.28515625	-0.796875	0.0002632141	-0.27734375	-0.61328125	-0.36328125	0.32421875	-0.24121094	0.064941406	0.078125	-0.6015625	0.007507324	0.359375	0.76953125	-0.375	-0.76953125	-0.0036315918	0.3203125	-0.10839844	-0.47460938	0.625	0.53125	-0.3359375	-0.049804688	0.49414062	0.30273438	0.58984375	-0.19628906
GT_00929	-3.556904082580297	1.33925	2.371963118	2.698737948	2.620915636	3.990657863	3.148741234	2.358217569	1.846674031	3.001758513	1.550541325	2.066929183	1.245326819	2.901821521	0.81957121	1.444952585	1.985664771	2.39660173	1.127613101	1.003994179	0.892063692	1.996279251	1.817801817	2.972761496	10.37688976	2.702702703	3.062068302	2.857342857	0.724637681	1.758061665	2.91855912	1.593910008	2.770603201	2.062156077	3.574967726	1.448506224	1.038116423	5.89910614	5.266698723	2.939291603	2.025446494	0.650010089	2.299613327	1.634594218	4.649981137	1.887402244	2.559268545	3.070506001	2.547916283	2.336364536	6.360013751	3.504750004	9.253943343	2.93352955	1.743482667	1.855800042	7.415325176	0.5390625	0.15332031	-0.5703125	0.625	0.122558594	-0.018188477	-0.4765625	0.26757812	-0.07324219	-0.5390625	0.21875	0.096191406	-0.40820312	-0.026489258	-0.032470703	0.7265625	-0.2890625	0.032470703	-0.1875	-0.16796875	-0.0154418945	0.234375	-0.1328125	-0.015075684	-0.18945312	-0.453125	-0.48828125	0.61328125	-0.29882812	-0.78125	0.00390625	-0.27539062	-0.58203125	-0.33007812	0.31835938	-0.22753906	0.075683594	0.072265625	-0.60546875	0.0054626465	0.328125	0.75390625	-0.40234375	-0.74609375	0.0012435913	0.30078125	-0.09472656	-0.47851562	0.62890625	0.515625	-0.32617188	-0.044921875	0.5078125	0.31835938	0.609375	-0.21191406
GT_00942	-3.025546484622873			0.0																	0.0																																18.51400822			0.0		0.5625	0.14453125	-0.6171875	0.6484375	0.114746094	0.014465332	-0.515625	0.23730469	-0.061035156	-0.54296875	0.24316406	0.09423828	-0.40039062	-0.03540039	-0.06738281	0.734375	-0.28125	0.06689453	-0.18652344	-0.16894531	-0.08251953	0.22558594	-0.14257812	0.0022583008	-0.19042969	-0.44726562	-0.5078125	0.60546875	-0.25390625	-0.8125	0.017333984	-0.25585938	-0.62109375	-0.359375	0.33007812	-0.24023438	0.05444336	0.09667969	-0.57421875	0.005432129	0.36914062	0.78125	-0.35546875	-0.73828125	-0.015625	0.31835938	-0.096191406	-0.45703125	0.6171875	0.55078125	-0.32421875	-0.0390625	0.47851562	0.28125	0.578125	-0.18457031
GT_01035	-4.79841888115983	0.0	0.0	0.437116748	0.489424989	0.354609929	1.042694089	0.365689163	1.076631703	0.0	0.0	0.0	1.617328158	0.909094545	2.030293627	1.724137931	0.442482301	0.316454114	0.471693396	0.684757674	2.443112897	0.0	0.0	1.429426005	2.016097523	2.011941148	2.664405444	0.0	0.0	0.378300431	0.449157781	0.750254842	0.64320466	1.381410221		0.399786624	0.735966629	0.454545455	1.316851451	0.726286419	0.0	1.674464128	0.492308574	0.0	0.0	0.57360316	0.659817986	0.571906687	0.647466085	0.432279539	1.801535731	1.063823404	4.447773266	0.388797682	0.803620318	0.881707239	0.762339993	0.5390625	0.1328125	-0.60546875	0.6484375	0.11816406	0.0049743652	-0.49023438	0.2578125	-0.06689453	-0.53515625	0.234375	0.09033203	-0.38671875	-0.020385742	-0.047851562	0.734375	-0.28710938	0.059814453	-0.19140625	-0.16503906	-0.05493164	0.22851562	-0.13964844	-0.008666992	-0.20019531	-0.44140625	-0.515625	0.61328125	-0.26757812	-0.8046875	0.0055236816	-0.26757812	-0.6015625	-0.3359375	0.3203125	-0.22753906	0.067871094	0.080566406	-0.6015625	-0.004425049	0.35742188	0.76171875	-0.37695312	-0.73046875	-0.0035858154	0.31445312	-0.07861328	-0.47265625	0.62109375	0.53515625	-0.3203125	-0.051513672	0.49609375	0.3046875	0.58203125	-0.18945312
GT_01103	-2.095660554737915					0.0								0.0							0.0				26.26977222	29.38489001				0.0			21.73913043					0.0							16.66664583			0.0					43.43331636	15.83327677		0.0	0.0	0.55859375	0.13476562	-0.6484375	0.66796875	0.106933594	0.02722168	-0.51171875	0.24414062	-0.07373047	-0.52734375	0.26171875	0.09472656	-0.36328125	-0.022583008	-0.0703125	0.74609375	-0.27734375	0.09033203	-0.19824219	-0.16210938	-0.10546875	0.23828125	-0.15332031	-0.017456055	-0.20019531	-0.43359375	-0.51953125	0.609375	-0.2421875	-0.83203125	0.012023926	-0.25976562	-0.62890625	-0.37109375	0.3359375	-0.2421875	0.04296875	0.08935547	-0.5859375	0.010131836	0.39257812	0.77734375	-0.33398438	-0.74609375	-0.022460938	0.3203125	-0.09472656	-0.46679688	0.61328125	0.5546875	-0.3203125	-0.053466797	0.484375	0.27929688	0.5625	-0.17089844
GT_01594	5.113020511272704	100.0	99.6718212	99.24808448	99.27716905	99.91527917	98.6971511	98.88544158	99.14252884	99.52605687	100.0	99.55886266	99.80018974	98.48489464	98.42457109	100.0	99.41166227	99.471	99.69182653	99.57223139	99.74533447	100.0	100.0	99.17641026	100.0		99.55611398	100.0	100.0	99.41951024	99.40443559	99.00508078	99.36061229	99.24186126	98.83200022	99.60817584	99.68712131	99.22424601	99.91419493	98.81251958	99.17983788	99.44553821	99.31848522	99.1527855	98.46640071	99.91582119	99.24130956	99.33774608	98.65573846	99.10165952	98.75881137	98.85840602	99.72792616	99.5491144	99.65828583	98.96540571	100.0	0.54296875	0.14746094	-0.6015625	0.640625	0.115722656	-0.013916016	-0.49414062	0.25585938	-0.068359375	-0.53125	0.2421875	0.0859375	-0.39648438	-0.020141602	-0.03881836	0.74609375	-0.28125	0.056152344	-0.19433594	-0.15722656	-0.041748047	0.23730469	-0.140625	-0.01928711	-0.19628906	-0.44921875	-0.49414062	0.62890625	-0.28515625	-0.796875	0.00289917	-0.27148438	-0.609375	-0.35546875	0.32421875	-0.23925781	0.0625	0.08154297	-0.60546875	0.011108398	0.3515625	0.76953125	-0.37695312	-0.7578125	-0.004852295	0.31640625	-0.106933594	-0.47851562	0.625	0.52734375	-0.32617188	-0.053222656	0.49609375	0.30664062	0.59375	-0.20214844
GT_04470	-1.0230681798205754	8.533364403	20.47165143	12.21234356	12.64699977	15.66665333	39.09811442	31.32225866	49.28710208		27.10621429	51.55228758	48.947375	84.48821962	82.03763087	68.57903709	68.75429864	33.68346359	41.11187629	49.59828033	53.21549731	10.20885156	9.135772749	14.96707069	1.23686842	3.037274569	23.1424049			39.97201586	23.62838162	38.80082423	10.56762722	39.37578619	34.26721013	24.75319146	28.22751714	20.61400232	4.020467836	8.727523272	12.47421864	31.67974383	8.91159482	17.53988215	10.14558946	13.20258051	24.11395709	7.895050117	8.662203445	14.79926667	4.273010219	24.17287158	3.12224332	25.27844635	43.10602386	17.29033288	1.81751943	0.54296875	0.10986328	-0.65234375	0.67578125	0.09814453	0.03112793	-0.48242188	0.27148438	-0.071777344	-0.52734375	0.24121094	0.109375	-0.33203125	0.002243042	-0.063964844	0.74609375	-0.29492188	0.080566406	-0.19238281	-0.16992188	-0.09277344	0.24121094	-0.15039062	-0.02355957	-0.21191406	-0.42382812	-0.54296875	0.60546875	-0.24609375	-0.84375	0.007019043	-0.2578125	-0.6015625	-0.33789062	0.32421875	-0.22265625	0.05029297	0.07910156	-0.60546875	0.00289917	0.3828125	0.76171875	-0.34765625	-0.71484375	-0.010131836	0.31445312	-0.07080078	-0.47460938	0.609375	0.54296875	-0.30078125	-0.06689453	0.5	0.30078125	0.56640625	-0.17285156
GT_05148	1.8121999832503524	80.6998186	76.56398652	82.52269065	88.15098115	92.7951468	81.32053945	81.3322285	78.07640387	89.98892947	79.18718819	84.38772078	83.59585441	75.24926056	78.49685246	85.22995341	86.14909661	79.9857358	83.00910447	82.03320955	82.24173316	82.80555998	83.58986799	84.32762195	91.70907501	95.82455402	91.64212131	86.65020158	89.93047543	84.77357611	91.60321421	82.46759004	93.59586924	84.94117823	81.93979532	91.524545	94.89178512	90.98246705	97.29159605	86.84033013	90.90742324	95.71928802	81.11669799	80.44735435	90.65743901	82.2022552	86.85827984	88.27321004	88.74784316	86.84742311	85.20053868	90.18298665	87.25219065	85.93206765	79.41798033	88.29825782	87.50519721	0.52734375	0.140625	-0.5703125	0.62890625	0.12011719	-0.022094727	-0.47070312	0.26953125	-0.061279297	-0.54296875	0.21875	0.09375	-0.41015625	-0.026977539	-0.027832031	0.7265625	-0.2890625	0.028320312	-0.18457031	-0.16308594	-0.0134887695	0.22753906	-0.13378906	-0.0053710938	-0.19433594	-0.44921875	-0.49609375	0.6171875	-0.29296875	-0.78125	0.00025749207	-0.27148438	-0.578125	-0.3203125	0.31054688	-0.2265625	0.08154297	0.07421875	-0.61328125	-0.0015640259	0.32617188	0.7578125	-0.40820312	-0.7265625	0.010192871	0.30078125	-0.08251953	-0.48046875	0.625	0.51171875	-0.31640625	-0.047851562	0.50390625	0.31445312	0.6015625	-0.20800781
GT_05282	-0.2991862097518241	32.756956		44.55128444	42.4842512	20.00762578	66.72691056	64.2624994	65.10051049		30.0	41.5094434	36.94445556	56.7880172	50.77644003	49.51036629	40.98347093	40.24787689	48.36806007	32.24638768	42.00001	50.48387097	39.20454545	47.0246569	37.46299649	21.83908046	44.9140295			45.97934471	41.74528514	50.14282192	36.37592486	44.25679893		31.55024624	19.87494208		42.42424242	46.63985233	38.67624242	10.53300136	54.75844143	53.46319123	44.55414948	29.63145446	43.56060706	43.82466872	40.03851934	42.54704267	41.61291935	36.13838692	43.46728894	37.07848256	54.51344327	58.01516643	51.18595514	0.5390625	0.118652344	-0.65625	0.66796875	0.099121094	0.013122559	-0.48242188	0.265625	-0.087890625	-0.515625	0.25976562	0.09326172	-0.3203125	0.012634277	-0.052978516	0.765625	-0.27734375	0.09082031	-0.20605469	-0.14941406	-0.07763672	0.25585938	-0.15527344	-0.04663086	-0.21386719	-0.42382812	-0.53125	0.6328125	-0.25976562	-0.84375	-0.011474609	-0.27148438	-0.609375	-0.36523438	0.328125	-0.234375	0.050048828	0.0625	-0.609375	0.0058898926	0.38671875	0.74609375	-0.3359375	-0.76171875	-0.011352539	0.32421875	-0.08642578	-0.484375	0.61328125	0.5390625	-0.3203125	-0.072265625	0.5078125	0.31054688	0.5703125	-0.17382812
GT_06215	1.9836258374834064	93.53466215	93.22660292	86.18882367	83.50162478	91.53558446	89.47667532	87.9650737	86.44900458	86.84242892	89.6082872	89.12266622	90.9672264	81.01737063	80.11868817	88.8876256	88.87796093	90.1276173	90.37004864	93.06421147	90.74811851	89.00461125	88.18398664	87.01865595	91.09231214	94.46560322	92.45888156	88.48387776	83.4038869	85.89097427	85.09612527	86.36367407	91.42333435	88.1077292	85.07316683	87.43396678	87.16279681	88.02525107	86.96712275	85.04820988	87.21879651	91.29281337	85.18655259	85.47750812	86.77859006	87.88705973	84.32971191	86.66956698	86.82290344	86.16334365	86.08336863	85.75378426	91.48501659	86.87882303	85.95280329	88.55360629	87.90731254	0.5546875	0.12890625	-0.66796875	0.67578125	0.1015625	0.028686523	-0.49804688	0.24902344	-0.08203125	-0.515625	0.26757812	0.09375	-0.33007812	0.00030899048	-0.06933594	0.76171875	-0.27734375	0.099121094	-0.20898438	-0.15527344	-0.11425781	0.25390625	-0.15332031	-0.0390625	-0.20800781	-0.421875	-0.5234375	0.6171875	-0.24316406	-0.8515625	0.0020141602	-0.26367188	-0.625	-0.38085938	0.33789062	-0.234375	0.038085938	0.07910156	-0.59765625	0.012939453	0.40429688	0.765625	-0.32226562	-0.75390625	-0.024169922	0.32421875	-0.09667969	-0.4765625	0.61328125	0.5546875	-0.3203125	-0.064941406	0.48828125	0.2890625	0.5625	-0.16503906
